,date,likes,retweets,tweet,tweet_id
48,2020-10-06 12:00:01,21370.0,3910.0,"Let us dream, as a single human family, as fellow travelers sharing the same flesh, as children of the same earth which is our common home, each of us bringing the richness of his or her beliefs and convictions, each of us with his or her own voice, brothers and sisters all.",1313448928684249089
49,2020-10-16 13:10:00,23515.0,4495.0,A courageous decision? Using the money spent on weapons for a “global Fund” to defeat hunger. This would help avoid many wars and the emigration of many of our brothers and sisters from the poorest nations.,1317090416617951232
,date,likes,retweets,tweet,tweet_id
0,2020-09-13 15:01:17,15567.0,2040.0,"In recent days, a series of fires have devastated the refugee camp of Moria on the Island of Lesbos. I express my solidarity and closeness to all the victims of these dramatic events.",1305159624862171136
1,2020-09-08 11:30:00,47874.0,7988.0,"Mary, the Mother who cared for Jesus, cares with maternal affection and pain also for this wounded world.",1303294512643682304
2,2020-09-16 11:30:00,8182.0,1582.0,"To contemplate and to care: these are two attitudes that show the way to correct and rebalance our relationship as human beings with creation. #SeasonOfCreation #GeneralAudience
https://t.co/T6xMjO5jnz",1306193614398042112
3,2020-09-10 09:30:00,30419.0,5239.0,"Today, in the tragedy of a #pandemic, in the face of the many false securities that have now crumbled, in the face of so many hopes betrayed, in the sense of abandonment that weighs upon our hearts, Jesus says to each one of us: “Courage, open your heart to my love”.",1303989088064876544
4,2020-09-25 17:24:14,36060.0,8406.0,"We need to dismantle the perverse logic that links personal and national security to the possession of weaponry. This logic serves only to increase the profits of the arms industry, while fostering a climate of distrust and fear between persons and peoples. #UN75 @UN",1309544250934263808
5,2020-09-14 11:30:00,21961.0,3691.0,"The revelation of God’s love for us seems madness. Every time that we look at the cross, we find this love. The crucifix is truly the great book of God’s love. #ExaltationOfTheCross",1305468840780931072
6,2020-09-25 17:20:03,10028.0,1772.0,"I renew my appeal that in light of the present circumstances, that all nations be enabled to meet the greatest needs of the moment, reducing or forgiving the debt of the poorest nations. #UN75 @UN",1309543198948241410
7,2020-09-13 10:30:00,18791.0,3728.0,"In the #GospelOfTheDay (MT 18:21-35), Jesus exhorts us to open ourselves courageously to the strength of forgiveness, because not everything in life can be resolved with justice: there's a need for merciful love.",1305091352917495809
8,2020-09-21 11:30:00,21450.0,3759.0,The journey of reconciliation calls for patience and trust. #Peace will not be obtained unless it is hoped for.,1308005555965849603
9,2020-09-22 11:30:00,30960.0,5673.0,"Life is grounded in three fundamental and closely connected relationships: the Relationship with God, with our neighbour and with the earth. #SeasonOfCreation",1308367942388596736
10,2020-09-16 09:00:00,26147.0,5060.0,"Climate restoration is of utmost importance for the Earth's future. Thus, I invite all nations to adopt more ambitious national targets to reduce emissions. #SeasonOfCreation",1306155868313001984
11,2020-09-12 11:30:00,24434.0,4134.0,"Nature is filled with words of love, but how can we listen to them amid constant noise, and interminable and nerve-wracking distractions? #SeasonOfCreation",1304744063728451585
12,2020-09-17 11:30:00,26325.0,4868.0,"Today, the nature that surrounds us is no longer admired, but “devoured”. We must return to contemplation; so as not to be distracted by a thousand useless things, we must find silence; for the heart not to become sick, we must be still. #SeasonOfCreation",1306556002955821056
13,2020-10-04 12:00:00,14595.0,2283.0,"#SaintFrancisofAssisi, this saint of fraternal love, simplicity and joy, who inspired me to write the Encyclical Laudato Si’, prompts me once more to devote this new Encyclical to fraternity and social friendship. #FratelliTutti",1312724147747737602
14,2020-09-11 11:30:00,20781.0,3319.0,"As believers, we do not look at the world from without but from within, conscious of the bonds with which the Father has linked us to all beings. #SeasonOfCreation",1304381677469343744
15,2020-09-25 17:13:32,12320.0,2199.0,"The #pandemic has shown us that we cannot live without one another. The United Nations was established to bring nations together, to be a bridge between peoples.  Let us make good use of it to build together the future we all desire. #UN75 @UN",1309541559768055815
16,2020-09-09 12:00:02,14657.0,2853.0,"The common good requires everyone’s participation. If everyone contributes his or her part, and if no one is left out, we can regenerate good relationships on the communitarian, national and international level and even in harmony with the environment. #LaudatoSì",1303664458498273284
17,2020-09-13 11:30:00,40627.0,7641.0,"How much suffering, how many wounds, how many wars could be avoided if forgiveness and mercy were the style of our life! #GospelOfTheDay",1305106450700595201
18,2020-10-04 07:30:00,19038.0,3176.0,"#SaintFrancisofAssisi, faithful to Scripture, invites us to see nature as a magnificent book in which God speaks to us and grants us a glimpse of his infinite beauty and goodness. #SeasonOfCreation",1312656198311706624
19,2020-09-27 11:01:46,14500.0,2402.0,"Today we celebrate the Memorial of #StVincentDePaul, Patron of charitable organizations. May St Vincent's example lead all of us to joyful and disinterested service to the most in need, and open us to hospitality and the gift of life.",1310172776733519872
20,2020-09-20 10:49:04,25814.0,4357.0,"Those who reason using human logic, that is, the logic of the merits acquired through one’s own greatness, from being first, find themselves last. Instead, those who humbly entrust themselves to the Father’s mercy, from being last, find themselves first (see Mt 20:1-16)",1307632863999860736
21,2020-09-07 11:30:00,26156.0,4175.0,"Rather than a problem to be solved, the world is a joyful mystery to be contemplated with gladness and praise. #SeasonOfCreation #LaudatoSì",1302932125578964997
22,2020-09-21 09:30:00,18592.0,3219.0,"We need to pursue a genuine fraternity based on our common origin from God. The desire for #peace lies deep within the human heart, and we should not resign ourselves to seeking anything less than this.",1307975356515856384
23,2020-09-30 11:55:05,31177.0,6080.0,"Let us not go back to the ""normality"" sick with with injustice, inequality and environmental degradation.The normality to which we are called is that of the Kingdom of God, where there is bread for all and the social organisation is based on contributing, sharing and distributing",1311273359620149248
24,2020-09-27 10:19:56,22085.0,3333.0,"Let’s pray for the millions of internally displaced people. Just like Jesus and his parents who fled to Egypt, they live with fear, uncertainty and unease. #WDMR2020 #DisplacedlikeJesus @M_RSection",1310162250100019206
25,2020-10-04 09:45:00,11240.0,1898.0,"The parable of the murderous vinedressers (Mt 21:33-43) is an admonition for all times, including our own. The vineyard is the Lord's, not ours. And God awaits the fruit of His vineyard from those He has sent to work in it. #GospelOfTheDay",1312690171947573248
26,2020-09-09 10:30:00,13658.0,2113.0,"The Christian response to the pandemic and to the consequent socio-economic crisis is based on love, above all, love of God who always precedes us (see 1 Jn 4:19). When we welcome this divine love, then we can respond similarly. #GeneralAudience",1303641801266532353
27,2020-09-09 11:30:00,30154.0,6368.0,"To love everyone, including enemies, is difficult – I would say it is even an art! But an art that can be learned and improved. True love, that makes us fruitful and free, is always expansive and inclusive. This love cares, heals and does good. #GeneralAudience",1303656900442030081
28,2020-09-19 11:30:00,26620.0,4506.0,"We are called to be instruments of God our Father, so that our planet might be what He dreamed of when he created it and correspond with his plan for peace, beauty and fullness. #SeasonOfCreation",1307280779085402112
29,2020-10-04 10:30:00,12968.0,3340.0,Encyclical #FratelliTutti  https://t.co/c89aZACfGa https://t.co/TRJktiKntO,1312701497117872130
30,2020-09-28 11:30:00,29511.0,4843.0,"Almighty God, present in the entire universe and in the smallest of Your creatures, fill us with the strength of Your love so that we might take care of life and beauty. #SeasonOfCreation",1310542268990881792
31,2020-10-01 11:30:00,23871.0,4547.0,"#SaintThereseOfLisieux invites us to practise the little way of love, not to let the possibility of offering a smile to slip by, or any small gesture that sows peace and friendship. #SeasonOfCreation",1311629433292419072
32,2020-09-16 11:00:00,11178.0,2027.0,"Contemplation, which leads us to an attitude of care, is not a question of looking at nature from the outside, as if we were not immersed in it. But we are inside nature, we are part of nature. #SeasonOfCreation #GeneralAudience",1306186067201024000
33,2020-09-25 17:45:52,8382.0,1553.0,"I urge civil authorities to be especially attentive to children who are denied their fundamental rights and dignity, particularly their right to life and to schooling. #UN75 @UN https://t.co/VUTkbiHxc8",1309549694624952321
34,2020-09-24 11:30:00,28528.0,5175.0,"The destruction of the human environment is extremely serious, not only because God has entrusted the world to us, but because human life is itself a gift which must be defended. #SeasonOfCreation",1309092719260610560
35,2020-09-27 11:30:00,12796.0,2391.0,"The #GospelOfTheDay questions the way of living a Christian life, which is not made up of dreams or beautiful aspirations, but of concrete commitments, to open ourselves ever more to God's will and to love for our brothers and sisters.",1310179882777931778
36,2020-10-02 12:00:02,14742.0,2480.0,"The urgent challenge to protect our common home includes the task of uniting the entire human family in searching for sustainable and integral development, for we know that things can change. #SeasonOfCreation",1311999377951592450
37,2020-09-15 11:30:00,23883.0,3850.0,The Sorrowful Virgin whose pierced heart mourned the death of Jesus now grieves for the sufferings of the crucified poor and for the creatures of this world laid waste by human power. #SeasonOfCreation,1305831227157434368
38,2020-09-09 11:00:01,12337.0,2389.0,"A virus that does not recognise barriers, borders, or cultural or political distinctions must be faced with a love without barriers, borders or distinctions. #GeneralAudience https://t.co/NM4r1XnNyw",1303649355132534784
39,2020-09-30 10:05:00,10549.0,1628.0,"Devotion to sacred Scripture, a “living and tender love” for the written word of God: this is the legacy that Saint Jerome bequeathed to the Church by his life and labours. https://t.co/OSaNDBkcIs",1311245653868150787
40,2020-09-25 11:30:00,19883.0,3413.0,Everyone’s talents and involvement are needed to redress the damage caused by human abuse of God’s creation. #SeasonOfCreation,1309455107092893698
41,2020-10-02 11:00:00,26498.0,4067.0,Let us continue to grow in the awareness that we all live in a common home as members of a single family! #SeasonOfCreation,1311984273138872321
42,2020-09-16 10:33:58,12919.0,2081.0,"As many spiritual masters have taught us, heaven, earth, sea, and every creature have an iconic capacity or mystical capacity to bring us back to the Creator and to communion with creation. #SeasonOfCreation #GeneralAudience",1306179514016452609
43,2020-09-23 11:30:00,15811.0,2783.0,"#Solidarity needs subsidiarity. There is no true solidarity without social participation, without the contribution of families, associations, cooperatives, small businesses, and other expressions of society. #GeneralAudience",1308730330719956992
44,2020-10-03 16:17:21,17235.0,2854.0,"I offer this social Encyclical as a modest contribution to continued reflection, in the hope that in the face of present-day attempts to eliminate or ignore others, we may prove capable of responding with a new vision of fraternity and social friendship. #FratelliTutti https://t.co/P3qso8k8qM",1312426524847542273
45,2020-09-29 11:30:00,40794.0,7992.0,"Saint Michael, help us in the battle for salvation we are fighting. Saint Gabriel, bring us the good news that Jesus has saved us, and grant us hope. Saint Raphael, take our hands and help us along on the path of complete healing. #ArchangelSaints",1310904658265862144
46,2020-09-26 09:30:00,29875.0,4777.0,"Let us ask the Lord for the gift of peace, for a world without arms of mass destruction! Let us dedicate ourselves to free humanity from nuclear arms, this serious threat to the human race.",1309787295139192833
